Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
X221353-GM2210388-1-TWE-F-EGG4_S42_L001_R2	X221353-GM2210388-1-TWE-F-EGG4_S42_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	25849357.0	0.0	35-151	50.0	87.60294302428659	147.4910753486054	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221353-GM2210388-1-TWE-F-EGG4_S42_L002_R1	X221353-GM2210388-1-TWE-F-EGG4_S42_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	26016815.0	0.0	35-151	50.0	87.08959737838636	147.51048408500426	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221353-GM2210388-1-TWE-F-EGG4_S42_L002_R2	X221353-GM2210388-1-TWE-F-EGG4_S42_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	26016815.0	0.0	35-151	50.0	87.99839947081053	147.51037742321648	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221364-GM2210646-1-TWE-M-EGG4_S45_L001_R1	X221364-GM2210646-1-TWE-M-EGG4_S45_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	38476393.0	0.0	35-151	50.0	83.71944373188472	147.95548946077145	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221364-GM2210646-1-TWE-M-EGG4_S45_L001_R2	X221364-GM2210646-1-TWE-M-EGG4_S45_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	38476393.0	0.0	35-151	50.0	84.41870269494756	147.94551633257308	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221364-GM2210646-1-TWE-M-EGG4_S45_L002_R1	X221364-GM2210646-1-TWE-M-EGG4_S45_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	38606994.0	0.0	35-151	50.0	83.93827915043498	147.96430864314377	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221364-GM2210646-1-TWE-M-EGG4_S45_L002_R2	X221364-GM2210646-1-TWE-M-EGG4_S45_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	38606994.0	0.0	35-151	50.0	84.5569461558972	147.9558871379626	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221367-GM2211373-1-TWE-F-EGG4_S48_L001_R1	X221367-GM2211373-1-TWE-F-EGG4_S48_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	21530700.0	0.0	35-151	50.0	87.76453416521657	146.18850478618901	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221367-GM2211373-1-TWE-F-EGG4_S48_L001_R2	X221367-GM2211373-1-TWE-F-EGG4_S48_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	21530700.0	0.0	35-151	50.0	87.9301576650924	146.1733515863395	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221367-GM2211373-1-TWE-F-EGG4_S48_L002_R1	X221367-GM2211373-1-TWE-F-EGG4_S48_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	21647784.0	0.0	35-151	50.0	88.02577608424563	146.20193059945535	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221367-GM2211373-1-TWE-F-EGG4_S48_L002_R2	X221367-GM2211373-1-TWE-F-EGG4_S48_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	21647784.0	0.0	35-151	50.0	88.06243051748885	146.18828620056445	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221368-GM2210324-1-TWE-F-EGG4_S32_L001_R1	X221368-GM2210324-1-TWE-F-EGG4_S32_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	37036814.0	0.0	35-151	50.0	82.1863841342965	147.27643082366643	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221368-GM2210324-1-TWE-F-EGG4_S32_L001_R2	X221368-GM2210324-1-TWE-F-EGG4_S32_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	37036814.0	0.0	35-151	50.0	82.473811989428	147.2655581551912	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221368-GM2210324-1-TWE-F-EGG4_S32_L002_R1	X221368-GM2210324-1-TWE-F-EGG4_S32_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	37207480.0	0.0	35-151	50.0	82.34384639946786	147.28693743838605	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221368-GM2210324-1-TWE-F-EGG4_S32_L002_R2	X221368-GM2210324-1-TWE-F-EGG4_S32_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	37207480.0	0.0	35-151	50.0	82.47654946886178	147.27731585154382	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221369-GM2210323-1-TWE-M-EGG4_S33_L001_R1	X221369-GM2210323-1-TWE-M-EGG4_S33_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	32489053.0	0.0	35-151	53.0	83.40872803470529	148.40468270958837	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221369-GM2210323-1-TWE-M-EGG4_S33_L001_R2	X221369-GM2210323-1-TWE-M-EGG4_S33_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	32489053.0	0.0	35-151	53.0	84.27153577655353	148.38829872942125	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221369-GM2210323-1-TWE-M-EGG4_S33_L002_R1	X221369-GM2210323-1-TWE-M-EGG4_S33_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	32862361.0	0.0	35-151	53.0	83.37822990299195	148.42829287280972	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221369-GM2210323-1-TWE-M-EGG4_S33_L002_R2	X221369-GM2210323-1-TWE-M-EGG4_S33_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	32862361.0	0.0	35-151	53.0	84.40476493675003	148.41343280234796	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
